A2,A3,A7,A10,A13,A14,A1_1,A4_2,A4_3,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A6_2,A6_3,A6_4,A6_5,A6_7,A6_8,A6_9,A8_1,A9_1,A11_1,A12_2,A12_3
-0.8145600074720342,-0.8480607807835905,-0.6529152770288265,-0.2881005290905888,3.813104939922831,-0.18408097099571483,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,False
0.38851171775257454,-0.8721835435695418,-0.5781564669744157,-0.49388662129815225,0.7265143053243156,-0.19502919096296267,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
0.0009959831012792504,-0.8058459459081757,0.38174665412421893,-0.49388662129815225,0.7904549776041343,-0.1954133390319889,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
-0.7166257477344522,-0.45405565527971964,-0.6394586912190325,-0.49388662129815225,-0.4883584679922377,0.612834198199221,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
-0.32911001308315696,1.8074533559032129,1.0545759446139162,-0.49388662129815225,1.761190638579562,-0.09937632177542881,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
-0.5688800972682723,-0.052009608847198324,-0.365841446419889,-0.49388662129815225,1.022966513167111,-0.19426089482491019,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
-0.49796218504450557,-0.5123523320124352,0.5312642742330406,-0.49388662129815225,0.023166910246311092,-0.1954133390319889,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
-1.3844360878415856,0.4505479491934533,-0.365841446419889,-0.49388662129815225,2.4180357265449715,-0.1954133390319889,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0.00015172224147267545,-0.8309738238102083,-0.5901178765831214,-0.49388662129815225,1.1392222809485992,0.19065547033938274,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0.06431554758678497,-0.253032632063459,-0.5153590665287107,-0.49388662129815225,0.2789295993655855,-0.1954133390319889,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
-0.5967407056418946,1.606430332686952,0.755540704396273,-0.08231443688302535,-0.645303754497247,-0.11013246770816354,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False
-0.5545276626515575,1.4556630652747564,0.007952603852164964,-0.08231443688302535,-0.3721027002107493,-0.19445296885942331,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False
0.008594330839540225,2.292923956970482,0.23222903401539735,1.3581882085699186,0.383559790368925,-0.05519929383741115,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
0.7397242354321794,0.559100381730234,1.727405235103613,2.387118669607736,-1.0696373068996794,0.24635694034818761,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False
-0.15350375424335455,-0.8229329028815578,-0.5901178765831214,-0.49388662129815225,0.6741992098226459,-0.1954133390319889,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
-0.5756341841467261,-0.8480607807835905,-0.365841446419889,-0.49388662129815225,-0.3721027002107493,-0.1952212649974758,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
-0.026864625272343123,-0.2027768762593938,-0.4779796615015052,1.3581882085699186,-0.017522608477209836,-0.1954133390319889,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False
1.5772310083604684,-0.7887589889347936,-0.5153590665287107,-0.49388662129815225,0.3254319064781808,-0.17294067699395385,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
-1.0467317439188883,-0.9566132133203712,-0.6648766866375322,-0.49388662129815225,1.8367568876375295,-0.1952212649974758,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
-0.2868969700928198,-0.9314853354183387,-0.6394586912190325,-0.49388662129815225,0.1859249851403948,0.20794213344556356,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2.2669921308225778,3.2648702742211024,2.3254757155388996,2.1813325774001724,-1.0696373068996794,1.0914826922059166,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False
